Amount Earned,Completed Jobs ,USD/Hour,On Time,On Budget,Repeat Hire Rate,Accept Rate,Country,Overall Rating,Reviews Count,Education,Work Experience,Number of Certificates,User_ID_Hashed
9.3,98,25,96,100.0,13.0,89.0,Serbia,5.0,54.0,1.0,3.0,10,eea668c813e8dbba992cc87250a912e686a9934e967810a3cd5409abfed16a0a
8.6,100,6,97,96.0,27.0,55.0,India,5.0,168.0,1.0,0.0,2,b13528f38b010b1dedd76c63f6655caaf3914291e70ed87f1f8d5f81d14ae4d6
10.0,98,15,99,99.0,22.0,85.0,India,5.0,673.0,1.0,1.0,11,c7b7e5676b40e4ea714c65e5105f46f4f07473727e429de4a48f5a6c4534f45b
9.2,93,25,99,100.0,8.0,85.0,India,5.0,79.0,1.0,1.0,15,0b01b82dcdf87d97584eb61044a1bba138685a9652b30e23b99abdf545a85a94
9.5,90,18,89,93.0,20.0,80.0,India,4.7,276.0,1.0,1.0,3,4a1a6d78fce41075da14e8b5226f7654b96431dedfea0f4174a5d447112e93f8
8.9,100,7,98,99.0,23.0,69.0,India,5.0,178.0,1.0,0.0,2,0c21bcf947e5ac2787015be366ea09e619cddc6440a4c9bdc083f2a3a452f140
7.9,100,7,100,100.0,15.0,70.0,India,5.0,132.0,1.0,1.0,1,53848d41597826b8f9575f792aca355a7c78efbce16c71a2a9ee61bfd7e934ec
10.0,96,15,99,43.0,23.0,84.0,India,5.0,834.0,1.0,2.0,8,43690b77f20640e6f71d57d87a29fc84008872217a6e66342833a03bc91f8d26
9.6,97,40,99,99.0,12.0,68.0,Pakistan,5.0,134.0,1.0,0.0,12,de2289ffba95c254ab53b8c35476b8847fd0545b268063166cc4c08c9912bce9
10.0,96,35,96,94.0,11.0,81.0,Bangladesh,4.9,3669.0,1.0,1.0,4,51e3d1449e4f2426c6bfda54dd13885acdd426dde0a925860058fff714666694
7.6,96,40,98,100.0,15.0,52.0,Pakistan,5.0,67.0,1.0,1.0,5,9c1ab5b571eabd4f16c15898a02e2b524a373bb0d13a9b198c8732621569daf7
8.2,98,20,97,97.0,16.0,78.0,India,4.9,43.0,0.0,1.0,1,42001ca6fc167c4068fd419e257dfbb7630c0a5641508ff8fe325b4e31c4d789
8.9,99,20,95,97.0,24.0,92.0,India,5.0,463.0,1.0,0.0,3,6e161cbdcaf72fa36624d10d3fe8b31fb6c96ea8e38f6e0e73a447d3e4cc4da1
9.4,100,50,100,100.0,20.0,91.0,Pakistan,5.0,135.0,1.0,2.0,15,7f352ee23df4d6c6848cc37f1a6d46ca4428e35cd99ad80509c399629ad63e34
10.0,97,20,87,87.0,40.0,92.0,India,4.6,2113.0,0.0,1.0,3,411d4dc33b42d904219ee59e1f212f0cbcb856cd09c4fa6ad98474a0d4a773a6
8.5,95,16,78,83.0,11.0,60.0,India,4.7,184.0,1.0,2.0,1,878ba45b1d4ca6a449beb8caa11d36c818a85e3f9d74b9428534dbe49f389550
9.1,99,75,95,98.0,29.0,96.0,Nigeria,5.0,437.0,1.0,0.0,2,3806dcf2aa622776383ec7574421654174428f79c9ae0f496eb32034e4a641f5
6.4,97,10,100,100.0,10.0,100.0,India,5.0,31.0,1.0,2.0,2,6be10c981baa4410a85f02f8d02efeee17859dbf4414856addc6527b24cba3a1
8.8,99,15,90,92.0,19.0,90.0,India,5.0,401.0,0.0,0.0,2,5cf2d1b792b59629c9a9478df2e944462d11426ff04177d08512fcd0caa49a2f
9.5,98,35,95,98.0,22.0,85.0,India,5.0,469.0,1.0,1.0,7,eb4dd80fd85961cc1b22f2110ae7e0e8bdc9dda84b2e5f1f88de114ad7d566b7
7.6,100,30,100,99.0,15.0,70.0,Pakistan,5.0,29.0,1.0,1.0,2,bb617c5b03faade86e20b5ab72d6781362d9fcd14edd619be01b05e361aa1da5
9.3,96,25,96,96.0,15.0,79.0,India,4.9,529.0,1.0,1.0,3,62c81efcd5d138a3914f8bb0895b8abe2b039bf7d8cc71001f7320da9ef7a8bf
10.0,99,18,91,97.0,21.0,91.0,India,4.9,493.0,1.0,1.0,5,04608bb5aff089339a2895c1c63847b41a50375c49756c51ae54df5f987192a2
6.8,93,20,100,100.0,20.0,76.0,Pakistan,5.0,14.0,1.0,2.0,1,3a9109019a0ff68195754ea0fa539dcd571df136d063293898337bc39b98fb61
9.6,97,50,94,98.0,11.0,55.0,Pakistan,4.9,297.0,1.0,1.0,15,b3cc7bfd4ebaa88011c103b79e8de24e85cec7ded84c4bbdd408f1a6a6760b24
7.6,100,20,100,100.0,22.0,68.0,Pakistan,5.0,46.0,1.0,2.0,9,5115054a050172a67c30517b1f7ce5217783a672c3a4c4470c15ebb47b7775d3
8.3,100,50,97,99.0,6.0,92.0,Egypt,5.0,56.0,0.0,2.0,1,8b4443281dc08b08a7de185a16173a6c3e00dee50509a67e5a9076483d3375c8
8.8,99,30,95,98.0,18.0,94.0,India,5.0,463.0,1.0,3.0,6,7640689ef9b4aed073ad3c7fd4ebc4408c158bc7f2b871b004a68bbb5008fb74
8.6,99,15,97,97.0,22.0,91.0,Pakistan,5.0,325.0,1.0,3.0,15,e78f777682af7c39f75d0d998cbe253fed8508bc5d849285c1cc29ced30f71f2
8.3,97,50,94,98.0,9.0,98.0,India,4.9,169.0,0.0,0.0,2,bdeb2e90821930663156732f2eb0201c3f0d22c3736ff981625d3b2c7528d90a
9.2,99,40,92,94.0,18.0,86.0,Pakistan,4.9,723.0,1.0,2.0,2,031865ee39b9f9aeffd45f2a8f4c7f81c851f040eed3c541b474bb470a8defa8
9.7,96,20,89,93.0,12.0,80.0,India,4.9,452.0,1.0,1.0,1,69021f203216707702c9e6f1881ed82a3f476b4ea10ad84425179576f826b555
9.0,98,50,98,99.0,15.0,93.0,Turkey,5.0,208.0,1.0,1.0,3,4fbaca31c51879156c6259bc5e6a04e86e37623f4c22429d2918362a2ce9dfed
9.6,97,25,92,92.0,20.0,97.0,India,4.9,477.0,1.0,2.0,8,327892672db54ef8c135662a6b6bd58eb0ae3acccedd8c70293e1881f90859d9
9.4,99,25,95,92.0,14.0,72.0,India,4.9,456.0,1.0,2.0,6,33fe568fd2a96053a58e5e9ec9de778b164d72ea6d159b6e8bb9ebbf6f2ea93d
7.6,97,18,100,100.0,9.0,81.0,Pakistan,5.0,79.0,0.0,0.0,2,c039a8c8d3201e261b707ae0e299e91b8a36568d4cc0d48d450619a2639894e3
9.0,98,30,92,95.0,10.0,94.0,India,4.9,1741.0,1.0,2.0,4,e17a79dc453e120e465a5816ab13cbf02abb133525f47ecba3cdad98ad6c31b0
9.3,99,35,96,98.0,25.0,70.0,Pakistan,5.0,428.0,1.0,2.0,3,08dbc17741fd318c6e64d225c5adbe899f551c27ef2f483d7f94fedba2d801c2
7.1,94,40,100,100.0,15.0,97.0,India,5.0,64.0,1.0,2.0,1,505713ed08196ebdfa78c51c8f547d7a7e554b87563d38b98dcc8c90987686dc
9.1,100,20,100,100.0,18.0,83.0,India,5.0,145.0,1.0,2.0,15,a2c7dd5b2a368ba625ee0877c24f5db21f8674e1ccdda2c21825dc32cbd8ab6a
7.5,100,45,100,100.0,17.0,78.0,United Kingdom,5.0,33.0,0.0,0.0,0,135b30bb3353e22af35c7a6e7abb77731ab5288fc517534559dbb5d632cddbde
8.7,99,25,96,96.0,15.0,71.0,Pakistan,4.9,498.0,1.0,0.0,2,b5451ad7fcdef81a4fdb722a79e1286d28faa71a0252f65df7431be950515dbb
10.0,98,20,89,94.0,10.0,71.0,India,4.8,168.0,1.0,1.0,3,51bdae5be09dfea9fa3b9d1e43d3a0e27223c62ee9240a652f9d12bc800e01aa
9.2,100,50,98,98.0,14.0,88.0,Germany,5.0,406.0,1.0,2.0,3,1ff884cd6e726b01707197c1e47af9933b8b1507cbdbad0030fc21d7d9f5fac0
8.5,95,50,97,98.0,19.0,62.0,Sweden,4.9,279.0,1.0,2.0,3,b33fcb1a78ce892dfbfa7b755256048b3bf12feadcbcc22ff36102cacc911147
10.0,97,20,87,92.0,18.0,81.0,India,4.8,812.0,1.0,1.0,7,8d641b1a0898deacf7de8115f143bdc239ed75f0a060c15fb30cf95ce2f58a38
8.0,98,25,100,100.0,4.0,94.0,United States,5.0,97.0,1.0,0.0,1,00d3515e416af478f496c02899c9bda65c12f47c72d9ded8899dcf4474e64d5a
8.4,99,50,100,100.0,13.0,96.0,United Kingdom,5.0,59.0,0.0,3.0,1,7b682e2c217294fad6909466a43505625521802ebe2a204b6ee78a1097ff275e
